china_code,china_name,risk_pca,risk_rf,risk_ensemble
6052104,航天器引信装配工,0.734954122,0.747661599,0.741468204
6052105,弹头装配工,0.734954122,0.747661599,0.741468204
6052106,导弹总体装配工,0.734954122,0.747661599,0.741468204
6052107,卫星总体装配工,0.734954122,0.747661599,0.741468204
6052199,其他导弹卫星装配测试人员,0.765517969,0.779418817,0.772643795
6052201,液体火箭发动机装配试验工,0.734954122,0.747661599,0.741468204
6052202,固体火箭发动机装配工,0.734954122,0.747661599,0.741468204
6052203,固体火箭发动机试验工,0.468301556,0.465439965,0.466834653
6052204,固体火箭发动机检测工,0.516445171,0.516375994,0.516409709
6052299,其他火箭发动机装配试验人员,0.765517969,0.779418817,0.772643795
6052301,航天器环境试验工,0.468301556,0.465439965,0.466834653
6052302,航天器结构强度环境试验工,0.468301556,0.465439965,0.466834653
6052303,航天器结构高低温环境试验工,0.468301556,0.465439965,0.466834653
6052304,火箭发动机介质试验工,0.468301556,0.465439965,0.466834653
6052305,航天器系统试验工,0.468301556,0.465439965,0.466834653
6052306,空间环境模拟光学装测工,0.468301556,0.465439965,0.466834653
6052307,空间环境模拟温度试验工,0.468301556,0.465439965,0.466834653
6052308,空间环境模拟真空试验工,0.468301556,0.465439965,0.466834653
6052399,其他航天器结构强度温度湿度环境试验人员,0.468301556,0.465439965,0.466834653
6052401,靶场试射工,0.743284412,0.736406193,0.739758513
6052402,靶场测试验工,0.468301556,0.465439965,0.466834653
6052499,其他靶场试验人员,0.468301556,0.465439965,0.466834653
6059900,其他机电产品装配人员,0.765517969,0.779418817,0.772643795
6060101,机修钳工,0.68904837,0.684176066,0.686550739
6060102,汽车修理工,0.839468576,0.844482661,0.842038886
6060103,船舶修理工,0.68904837,0.684176066,0.686550739
6060201,工业自动化仪器仪表与装置修理工,0.575739034,0.580831854,0.578349706
6060202,电工仪器仪表修理工,0.575739034,0.580831854,0.578349706
6060203,精密仪器仪表修理工,0.575739034,0.580831854,0.578349706
6060301,民用航空器维护人员,0.575739034,0.580831854,0.578349706
6060302,民用航空器修理人员,0.575739034,0.580831854,0.578349706
6070101,水轮机设备安装工,0.715673891,0.725031119,0.720470575
6070102,锅炉设备安装工,0.715673891,0.725031119,0.720470575
6070103,汽轮机设备安装工,0.715673891,0.725031119,0.720470575
6070104,发电机设备安装工,0.715673891,0.725031119,0.720470575
6070105,热工仪表及控制装置安装试验工,0.62504381,0.625030085,0.625036775
6070106,发电厂电气设备安装工,0.62504381,0.625030085,0.625036775
6070107,电力电缆安装工,0.62504381,0.625030085,0.625036775
6070108,高压线路架设工,0.62504381,0.625030085,0.625036775
6070109,电力工程内线安装工,0.62504381,0.625030085,0.625036775
6070201,水轮发电机值班员,0.840827518,0.845510462,0.84322808
6070202,燃料值班员,0.840827518,0.845510462,0.84322808
6070203,锅炉运行值班员,0.840827518,0.845510462,0.84322808
6070204,锅炉辅机值班员,0.840827518,0.845510462,0.84322808
6070205,汽轮机运行值班员,0.840827518,0.845510462,0.84322808
6070206,热力网值班员,0.840827518,0.845510462,0.84322808
6070207,电气值班员,0.840827518,0.845510462,0.84322808
6070208,集控值班员,0.840827518,0.845510462,0.84322808
6070209,发电机氢冷值班员,0.840827518,0.845510462,0.84322808
6070210,电厂水处理值班员,0.840827518,0.845510462,0.84322808
6070301,送电、配电线路工,0.62504381,0.625030085,0.625036775
6070302,变电站值班员,0.840827518,0.845510462,0.84322808
6070303,调相机值班员,0.840827518,0.845510462,0.84322808
6070304,换流站值班员,0.840827518,0.845510462,0.84322808
6070401,锅炉本体设备检修工,0.68904837,0.684176066,0.686550739
