province,industry,year,employment,exposure
上海,居民服务、修理和其他服务业,2013,5.1,0.6329928585763148
上海,教育业,2013,29.5,0.3110199808341884
上海,卫生和社会工作,2013,18.8,0.3910500687036733
上海,文化、体育和娱乐业,2013,5.9,0.49574940735891965
上海,公共管理、社会保障和社会组织,2013,20.5,0.2793208238428194
上海,农林牧渔业,2012,1.2,0.46712666401014213
上海,采矿业,2012,0.1,0.5125208943995355
上海,制造业,2012,218.7,0.6847175650925181
上海,电力、热力、燃气及水生产和供应业,2012,5.8,0.5801516371950981
上海,建筑业,2012,48.9,0.6347082232359608
上海,交通运输、仓储和邮政业,2012,38.0,0.5359857648246004
上海,信息传输、软件和信息技术服务业,2012,8.6,0.30552326914336103
上海,批发和零售业,2012,59.8,0.41448412652779204
上海,住宿和餐饮业,2012,20.1,0.7053722687093864
上海,金融业,2012,29.5,0.2464877853992743
上海,房地产业,2012,15.2,0.29801142930015084
上海,租赁和商务服务业,2012,17.2,0.47578153570443577
上海,科学研究和技术服务业,2012,12.2,0.3957922605974184
上海,水利、环境和公共设施管理业,2012,6.2,0.5811363001515862
上海,居民服务、修理和其他服务业,2012,3.3,0.6329928585763148
上海,教育业,2012,28.0,0.3110199808341884
上海,卫生和社会工作,2012,17.4,0.3910500687036733
上海,文化、体育和娱乐业,2012,5.1,0.49574940735891965
上海,公共管理、社会保障和社会组织,2012,20.5,0.2793208238428194
上海,农林牧渔业,2011,1.4,0.46712666401014213
上海,采矿业,2011,0.1,0.5125208943995355
上海,制造业,2011,186.8,0.6847175650925181
上海,电力、热力、燃气及水生产和供应业,2011,6.1,0.5801516371950981
上海,建筑业,2011,36.8,0.6347082232359608
上海,交通运输、仓储和邮政业,2011,41.0,0.5359857648246004
上海,信息传输、软件和信息技术服务业,2011,8.2,0.30552326914336103
上海,批发和零售业,2011,47.5,0.41448412652779204
上海,住宿和餐饮业,2011,16.7,0.7053722687093864
上海,金融业,2011,27.8,0.2464877853992743
上海,房地产业,2011,15.5,0.29801142930015084
上海,租赁和商务服务业,2011,18.4,0.47578153570443577
上海,科学研究和技术服务业,2011,12.4,0.3957922605974184
上海,水利、环境和公共设施管理业,2011,6.3,0.5811363001515862
上海,居民服务、修理和其他服务业,2011,2.4,0.6329928585763148
上海,教育业,2011,27.7,0.3110199808341884
上海,卫生和社会工作,2011,17.7,0.3910500687036733
上海,文化、体育和娱乐业,2011,5.2,0.49574940735891965
上海,公共管理、社会保障和社会组织,2011,19.4,0.2793208238428194
上海,农林牧渔业,2010,1.5,0.46712666401014213
上海,采矿业,2010,0.1,0.5125208943995355
上海,制造业,2010,141.3,0.6847175650925181
上海,电力、热力、燃气及水生产和供应业,2010,5.4,0.5801516371950981
上海,建筑业,2010,11.3,0.6347082232359608
上海,交通运输、仓储和邮政业,2010,36.3,0.5359857648246004
上海,信息传输、软件和信息技术服务业,2010,6.7,0.30552326914336103
上海,批发和零售业,2010,26.4,0.41448412652779204
上海,住宿和餐饮业,2010,11.7,0.7053722687093864
上海,金融业,2010,23.6,0.2464877853992743
上海,房地产业,2010,11.2,0.29801142930015084
上海,租赁和商务服务业,2010,18.6,0.47578153570443577
上海,科学研究和技术服务业,2010,23.2,0.3957922605974184
上海,水利、环境和公共设施管理业,2010,5.9,0.5811363001515862
上海,居民服务、修理和其他服务业,2010,3.3,0.6329928585763148
上海,教育业,2010,26.1,0.3110199808341884
上海,卫生和社会工作,2010,16.7,0.3910500687036733
上海,文化、体育和娱乐业,2010,4.7,0.49574940735891965
上海,公共管理、社会保障和社会组织,2010,18.7,0.2793208238428194
上海,农林牧渔业,2009,1.3,0.46712666401014213
上海,采矿业,2009,0.1,0.5125208943995355
上海,制造业,2009,140.7,0.6847175650925181
上海,电力、热力、燃气及水生产和供应业,2009,5.6,0.5801516371950981
上海,建筑业,2009,11.0,0.6347082232359608
上海,交通运输、仓储和邮政业,2009,35.6,0.5359857648246004
上海,信息传输、软件和信息技术服务业,2009,6.5,0.30552326914336103
上海,批发和零售业,2009,25.4,0.41448412652779204
上海,住宿和餐饮业,2009,10.8,0.7053722687093864
上海,金融业,2009,21.7,0.2464877853992743
上海,房地产业,2009,11.5,0.29801142930015084
上海,租赁和商务服务业,2009,18.0,0.47578153570443577
上海,科学研究和技术服务业,2009,20.9,0.3957922605974184
上海,水利、环境和公共设施管理业,2009,6.2,0.5811363001515862
上海,居民服务、修理和其他服务业,2009,3.9,0.6329928585763148
上海,教育业,2009,26.7,0.3110199808341884
上海,卫生和社会工作,2009,16.6,0.3910500687036733
上海,文化、体育和娱乐业,2009,4.6,0.49574940735891965
上海,公共管理、社会保障和社会组织,2009,18.3,0.2793208238428194
上海,农林牧渔业,2008,1.2,0.46712666401014213
上海,采矿业,2008,0.1,0.5125208943995355
上海,制造业,2008,143.0,0.6847175650925181
上海,电力、热力、燃气及水生产和供应业,2008,5.5,0.5801516371950981
上海,建筑业,2008,11.1,0.6347082232359608
上海,交通运输、仓储和邮政业,2008,34.0,0.5359857648246004
上海,信息传输、软件和信息技术服务业,2008,5.6,0.30552326914336103
上海,批发和零售业,2008,24.1,0.41448412652779204
上海,住宿和餐饮业,2008,9.8,0.7053722687093864
上海,金融业,2008,20.7,0.2464877853992743
上海,房地产业,2008,10.7,0.29801142930015084
上海,租赁和商务服务业,2008,18.3,0.47578153570443577
上海,科学研究和技术服务业,2008,18.1,0.3957922605974184
上海,水利、环境和公共设施管理业,2008,5.7,0.5811363001515862
上海,居民服务、修理和其他服务业,2008,4.0,0.6329928585763148
上海,教育业,2008,27.1,0.3110199808341884
上海,卫生和社会工作,2008,16.0,0.3910500687036733
上海,文化、体育和娱乐业,2008,4.4,0.49574940735891965
上海,公共管理、社会保障和社会组织,2008,17.7,0.2793208238428194
云南,农林牧渔业,2024,1.4,0.46712666401014213
云南,采矿业,2024,4.7,0.5125208943995355
云南,制造业,2024,35.8,0.6847175650925181
云南,电力、热力、燃气及水生产和供应业,2024,10.3,0.5801516371950981
云南,建筑业,2024,19.8,0.6347082232359608
云南,交通运输、仓储和邮政业,2024,15.6,0.5359857648246004
云南,信息传输、软件和信息技术服务业,2024,4.9,0.30552326914336103
云南,批发和零售业,2024,15.2,0.41448412652779204
云南,住宿和餐饮业,2024,5.2,0.7053722687093864
云南,金融业,2024,12.3,0.2464877853992743
云南,房地产业,2024,8.3,0.29801142930015084
云南,租赁和商务服务业,2024,14.3,0.47578153570443577
云南,科学研究和技术服务业,2024,8.8,0.3957922605974184
云南,水利、环境和公共设施管理业,2024,6.7,0.5811363001515862
云南,居民服务、修理和其他服务业,2024,1.4,0.6329928585763148
云南,教育业,2024,63.6,0.3110199808341884
云南,卫生和社会工作,2024,34.5,0.3910500687036733
云南,文化、体育和娱乐业,2024,3.6,0.49574940735891965
云南,公共管理、社会保障和社会组织,2024,67.5,0.2793208238428194
云南,农林牧渔业,2023,2.4,0.46712666401014213
云南,采矿业,2023,5.2,0.5125208943995355
云南,制造业,2023,37.6,0.6847175650925181
云南,电力、热力、燃气及水生产和供应业,2023,9.8,0.5801516371950981
云南,建筑业,2023,24.2,0.6347082232359608
云南,交通运输、仓储和邮政业,2023,15.8,0.5359857648246004
云南,信息传输、软件和信息技术服务业,2023,5.3,0.30552326914336103
云南,批发和零售业,2023,13.9,0.41448412652779204
云南,住宿和餐饮业,2023,5.0,0.7053722687093864
云南,金融业,2023,11.4,0.2464877853992743
云南,房地产业,2023,8.0,0.29801142930015084
云南,租赁和商务服务业,2023,12.7,0.47578153570443577
云南,科学研究和技术服务业,2023,8.4,0.3957922605974184
云南,水利、环境和公共设施管理业,2023,6.9,0.5811363001515862
云南,居民服务、修理和其他服务业,2023,1.4,0.6329928585763148
云南,教育业,2023,64.4,0.3110199808341884
云南,卫生和社会工作,2023,34.8,0.3910500687036733
云南,文化、体育和娱乐业,2023,3.4,0.49574940735891965
云南,公共管理、社会保障和社会组织,2023,74.4,0.2793208238428194
云南,农林牧渔业,2022,2.4,0.46712666401014213
云南,采矿业,2022,5.5,0.5125208943995355
云南,制造业,2022,37.7,0.6847175650925181
云南,电力、热力、燃气及水生产和供应业,2022,10.8,0.5801516371950981
云南,建筑业,2022,28.5,0.6347082232359608
云南,交通运输、仓储和邮政业,2022,15.9,0.5359857648246004
云南,信息传输、软件和信息技术服务业,2022,5.0,0.30552326914336103
云南,批发和零售业,2022,14.8,0.41448412652779204
云南,住宿和餐饮业,2022,4.6,0.7053722687093864
云南,金融业,2022,12.1,0.2464877853992743
云南,房地产业,2022,9.2,0.29801142930015084
云南,租赁和商务服务业,2022,11.6,0.47578153570443577
云南,科学研究和技术服务业,2022,9.3,0.3957922605974184
云南,水利、环境和公共设施管理业,2022,7.1,0.5811363001515862
